DATA;HORARIO;MANDANTE;RESULTADO;VISITANTE; PUBLICO ;LOCAL
01/09/2024;16:00;Corinthians;2X1;Flamengo; 45.635 ;Neo Quimica Arena
01/09/2024;18:30;Juventude;1X3;Internacional; 10.721 ;Estadio Alfredo Jaconi
01/09/2024;18:30;Ath Paranaense;0X2;Palmeiras; 28.334 ;Ligga Arena
01/09/2024;18:30;Fluminense;2X0;Sao Paulo; 45.759 ;Estadio Jornalista Mario Filho
01/09/2024;18:30;Vitoria;0X1;Vasco da Gama; 20.923 ;Estadio Manoel Barradas
01/09/2024;18:30;RB Bragantino;2X1;Bahia; 3.921 ;Estadio Nabi Abi Chedid
31/08/2024;21:00;Botafogo (RJ);2X0;Fortaleza; 32.564 ;Estadio Nilton Santos
05/09/2024;19:00 (20:00);Cuiaba;0X0;Juventude; 4.826 ;Arena Pantanal
11/09/2024;19:30;Internacional;2X1;Fortaleza; 26.441 ;Estadio Jose Pinheiro Borba
14/09/2024;16:00;Atl Goianiense;0X2;Vitoria; 4.938 ;Estadio Antonio Accioly
14/09/2024;18:30;Ath Paranaense;1X1;Fortaleza; 31.551 ;Ligga Arena
15/09/2024;16:00;RB Bragantino;2X2;Gremio; 5.228 ;Estadio Nabi Abi Chedid
15/09/2024;16:00;Juventude;2X1;Fluminense; 6.232 ;Estadio Alfredo Jaconi
15/09/2024;16:00;Palmeiras;5X0;Criciuma; 37.244 ;Allianz Parque
15/09/2024;18:30;Flamengo;1X1;Vasco da Gama; 652 ;Estadio Jornalista Mario Filho
15/09/2024;18:30;Cruzeiro;0X1;Sao Paulo; 55 ;Estadio Governador Magalhaes  Pinto
15/09/2024;18:30;Bahia;3X0;Atletico Mineiro; 2.642 ;Itaipava Arena Fonte Nova
14/09/2024;21:00;Botafogo (RJ);2X1;Corinthians; 32.718 ;Estadio Nilton Santos
16/09/2024;20:00;Internacional;3X0;Cuiaba; 35.366 ;Estadio Jose Pinheiro Borba
21/09/2024;16:00;Vitoria;1X0;Juventude; 24.479 ;Estadio Manoel Barradas
21/09/2024;16:00;Corinthians;3X0;Atl Goianiense; 46.001 ;Neo Quimica Arena
21/09/2024;18:30;Fluminense;0X1;Botafogo (RJ); 22 ;Estadio Jornalista Mario Filho
22/09/2024;16:00;Vasco da Gama;0X1;Palmeiras; 25.755 ;Estadio Nacional de Brasilia
22/09/2024;16:00;Atletico Mineiro;3X0;RB Bragantino; 34.533 ;Arena MRV
22/09/2024;17:30 (18:30);Cuiaba;0X0;Cruzeiro; 5.948 ;Arena Pantanal
22/09/2024;18:30;Gremio;3X2;Flamengo; 48.504 ;Arena do Gremio
